model_family,fourier_mode,regime,seed,test_auc,test_acc,test_f1,test_precision,test_recall,test_specificity,test_d_auc,test_d_acc,test_d_f1,test_d_precision,test_d_recall,test_d_specificity,delta_auc,delta_acc
mobilenet,magnitude,finetune,123,0.7246191017357243,0.6638141876480513,0.6775982205918009,0.7528489945069746,0.6160237673103647,0.728074018710858,0.5423899946959269,0.5329189269402628,0.5539225463745446,0.612343186064594,0.5056782787867171,0.5695471766191593,-0.18222910703979744,-0.13089526070778856
mobilenet,magnitude,finetune,2024,0.7107888221320615,0.6528054873122393,0.658857837181045,0.7546950389706792,0.5846183334131966,0.7444911213628514,0.5414115319308275,0.5220696136787086,0.5105149393195686,0.6185903119756639,0.4345871867363074,0.6397000077317595,-0.16937729020123404,-0.13073587363353067
mobilenet,magnitude,finetune,7,0.7134370350938755,0.6580707568687585,0.6751465973233913,0.7416768005873849,0.6195696966792851,0.7098399525785418,0.5381942326587092,0.5228720451560069,0.5273736933797909,0.6104997794163988,0.4641717379845704,0.6018014999613412,-0.1752428024351662,-0.13519871171275155
mobilenet,magnitude,finetune,2025,0.7197764402626845,0.6617751323187522,0.6771622975673989,0.7480816932100053,0.6185250850543869,0.7199298987139506,0.542097654914629,0.5296267594409361,0.5512659853922746,0.6086065573770492,0.5037998945804782,0.5643540114945491,-0.17767878534805548,-0.1321483728778161
mobilenet,phase,finetune,42,0.6298302676195405,0.5574700324819866,0.4939379654944847,0.7175675675675676,0.3765776989793473,0.8007010128604933,0.5253436783889186,0.5063837271293289,0.5021121373055558,0.595560289843637,0.434012171162969,0.6036957810365712,-0.10448658923062193,-0.05108630535265768
mobilenet,phase,finetune,123,0.6296565056891255,0.5496655619493589,0.4578627338110456,0.7394426397674816,0.331592313958503,0.8428906471482693,0.5213786426904427,0.4959466218184416,0.4685053287975289,0.5926137696457894,0.3873784081652211,0.6419293317182547,-0.1082778629986828,-0.05371894013091727
mobilenet,phase,finetune,2024,0.6301893056358204,0.5550132730960115,0.4766115894810332,0.7321985421177032,0.3532895682591404,0.8262544779773717,0.5246726850507013,0.497567973091065,0.4683323446278396,0.5956329422903384,0.3858642004887632,0.6477668101337595,-0.10551662058511913,-0.057445300004946465
mobilenet,phase,finetune,7,0.6330245848920313,0.5651261081523741,0.5156879307600964,0.713632282437446,0.4037088504480329,0.7821705626143656,0.5272432212273819,0.5049272590369723,0.5021197097075519,0.5931623485165065,0.4353059562029805,0.5985412747094148,-0.10578136366464941,-0.06019884911540174
mobilenet,phase,finetune,2025,0.6206815446143981,0.545257684930227,0.4617166203670572,0.7188436917591767,0.3400737936652451,0.8211515167134867,0.5185446219893609,0.4957102892600592,0.4762959326948322,0.5888479613870189,0.3998658296995543,0.624584417927373,-0.10213692262503715,-0.04954739567016775
mobilenet,complex,finetune,42,0.6905692577114094,0.6167235513638587,0.5831779276048391,0.7748534760717293,0.4675259954957113,0.8173371820313909,0.5340126569373387,0.5221795357988865,0.5307091884655663,0.607571469181426,0.4711102592361876,0.5908481740161337,-0.15655660077407074,-0.09454401556497216
mobilenet,complex,finetune,123,0.6807235164708552,0.6163608083672718,0.5991754045456111,0.7474391484362688,0.4999952082035555,0.7728280198963944,0.5304434030506228,0.5224213644632778,0.5303687049387653,0.608148138967043,0.470228568690402,0.5926007061673668,-0.1502801134202324,-0.093939443903994
mobilenet,complex,finetune,2024,0.6872860491631398,0.6142448075538481,0.584000616409533,0.7653089756734085,0.4721452872681968,0.8053142960232984,0.5339679071578886,0.5175792950694433,0.5162445920251316,0.6074578469520103,0.4488475729551008,0.60999716502152,-0.1533181420052513,-0.0966655124844048
mobilenet,complex,finetune,7,0.6910131644063778,0.6229836161079875,0.6013308923953157,0.7639397519196692,0.4957975945181849,0.7940001546351898,0.53849983339489,0.5272139689030322,0.5363045376629257,0.612869445231554,0.4767454118549044,0.595074869204402,-0.15251333101148778,-0.09576964720495529
mobilenet,complex,finetune,2025,0.6862223104271512,0.6120078924082287,0.5729030540632108,0.7769062894836158,0.4537543725142556,0.82479832993995,0.531811408017177,0.5178705886879146,0.5188886207577387,0.6065754548835062,0.4533518616129187,0.6046235921754594,-0.15441090240997424,-0.09413730372031415
mobilenet,concat,finetune,42,0.8040980848338997,0.7141969914315708,0.7087773925997278,0.8526463296324243,0.6064497580142796,0.8590757970155408,0.6283478584974371,0.5885175353262214,0.5839880866385873,0.6948995649356661,0.5036082227226988,0.7026880750496122,-0.17575022633646253,-0.12567945610534936
mobilenet,concat,finetune,123,0.7998221109325169,0.7249308864669382,0.7301965519843879,0.8345347676610846,0.6490488284057693,0.8269632225973558,0.6310695376235299,0.5996251655701935,0.612975034931969,0.6877607954409977,0.5528583065791365,0.662508698229427,-0.16875257330898696,-0.12530572089674463
mobilenet,concat,finetune,2024,0.8143991692454318,0.724683561696538,0.7229905715154699,0.8546345927572232,0.6264890507451244,0.8567176103708667,0.6321006459312215,0.5967397099155248,0.6000697692165134,0.6957417495607771,0.527528870573578,0.6898018092317209,-0.18229852331421026,-0.1279438517810132
mobilenet,concat,finetune,7,0.798010128754364,0.7092834726596207,0.7077252910590849,0.8356952709051049,0.6137428722027888,0.8377490270869308,0.6307831512488763,0.5888253172627194,0.5836051339708125,0.6960475830113779,0.5024390243902439,0.7049818303651968,-0.16722697750548765,-0.1204581553969013
